YEAR,DIVISION_ID,DIVISION,NPA,LOCATION,PLACE_TYPE,PLACE_DETAIL,NIBRS,STATUS,MONTH
2022,07,North Tryon,371,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,Open,09
2022,02,Metro,124,Parking Lot,Residential,Apartment/Duplex Private Res,Simple Assault,Open,09
2022,06,Eastway,389,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,09
2022,02,Metro,382,Outdoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,09
2022,01,Central,342,Indoors,Retail,Department Store,All Other Offenses,Closed,09
2022,11,North,209,Parking Lot,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,09
2022,14,University City,219,Outdoors,Open Area,Street/Highway,All Other Offenses,Closed,09
2022,06,Eastway,343,Indoors,Commercial Place,Other - Commercial Place,All Other Offenses,Open,09
2022,06,Eastway,164,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,Open,09
2022,07,North Tryon,371,Indoors,Commercial Place,Hotel/Motel,Intimidation,Open,09
2022,26,Westover,178,Outdoors,Residential,Apartment/Duplex Private Res,All Other Thefts,Open,09
2022,21,Steele Creek,96,Indoors,Retail,Grocery Store/Supermarket,All Other Thefts,Open,09
2022,07,North Tryon,21,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,Open,09
2022,16,Providence,240,Outdoors,Residential,Private Residence,Simple Assault,Open,09
2022,26,Westover,13,Outdoors,Residential,Private Residence,Intimidation,Open,09
2022,21,Steele Creek,94,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Simple Assault,Closed,09
2022,01,Central,388,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Burglary/B&E,Open,09
2022,14,University City,64,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,Open,09
2022,14,University City,155,Indoors,Retail,Department Store,Shoplifting,Open,09
2022,21,Steele Creek,256,Indoors,Residential,Private Residence,Simple Assault,Closed,09
2022,16,Providence,358,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,Open,09
2022,21,Steele Creek,71,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,Closed,09
2022,01,Central,341,Outdoors,Residential,Private Residence,All Other Thefts,Open,09
2022,16,Providence,390,Parking Lot,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,Open,09
2022,11,North,260,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,Closed,09
2022,16,Providence,69,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Open,09
2022,22,South,253,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,Open,09
2022,02,Metro,292,Indoors,Residential,Private Residence,Intimidation,Open,09
2022,27,Freedom,199,Indoors,Residential,Private Residence,Intimidation,Closed,09
2022,21,Steele Creek,96,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,Closed,09
2022,22,South,194,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,09
2022,12,Hickory Grove,316,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,Open,09
2022,14,University City,231,Outdoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Open,09
2022,01,Central,340,Outdoors,Open Area,Street/Highway,Simple Assault,Open,09
2022,06,Eastway,10,Parking Lot,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,09
2022,14,University City,66,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Closed,09
2022,26,Westover,317,Outdoors,Open Area,Street/Highway,Simple Assault,Closed,09
2022,21,Steele Creek,116,Outdoors,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Open,09
2022,02,Metro,85,Parking Lot,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,Closed,09
2022,01,Central,340,Indoors,Residential,Apartment/Duplex Private Res,Drug/Narcotic Violations,Closed,09
2022,21,Steele Creek,94,Outdoors,Residential,Private Residence,Damage/Vandalism Of Property,Closed,09
2022,07,North Tryon,100,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,Open,09
2022,02,Metro,70,Indoors,Residential,Private Residence,Simple Assault,Open,09
2022,27,Freedom,73,Outdoors,Residential,Private Residence,Drug/Narcotic Violations,Closed,09
2022,14,University City,66,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,09
2022,02,Metro,382,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,Open,09
2022,02,Metro,382,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,Open,09
2022,26,Westover,326,Outdoors,Retail,Convenience Store,Drug/Narcotic Violations,Open,09
2022,17,Independence,52,Indoors,Retail,Convenience Store,Other Unlisted Non-Criminal,Closed,09
2022,02,Metro,363,Outdoors,Open Area,Street/Highway,Aggravated Assault,Open,09
2022,14,University City,60,Indoors,Residential,Apartment/Duplex Private Res,Missing Person,Closed,09
2022,06,Eastway,343,Indoors,Retail,Grocery Store/Supermarket,All Other Thefts,Open,09
2022,02,Metro,369,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,Closed,09
2022,27,Freedom,137,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,Open,09
2022,21,Steele Creek,93,Parking Lot,Commercial Place,Other - Commercial Place,All Other Thefts,Open,09
2022,14,University City,66,Outdoors,Residential,Apartment/Duplex Private Res,All Other Thefts,Open,09
